Year,Date,Geography Name,CBSA Code,Households,Median Household Income,Industrial Employment,Office Employment,Population,rent,Total Employment,Market Cap Rate,National index,Emp_house_perc,Ind_perc,Rent Burden,Office_perc,Emp_perc,Market Sale Price Index
2013,2013 Q1,Abilene - TX,10180,62625,43598,8261,8976,168660,636,66310,0.074,167.895,1.058842315,0.124581511,0.175053902,0.135364198,0.393157832,140.7
2013,2013 Q2,Abilene - TX,10180,62793,43931,8420,9269,168757,647,66812,0.077,170.847,1.064003949,0.126025265,0.176731693,0.138732563,0.39590654,142.1
2013,2013 Q3,Abilene - TX,10180,62967,44249,8358,9203,168867,649,66684,0.077,174.843,1.059030921,0.125337412,0.176003977,0.138009118,0.394890654,142.4
2013,2013 Q4,Abilene - TX,10180,62828,44149,8507,9141,169184,647,67097,0.077,179.585,1.067947412,0.126786593,0.175859023,0.136235599,0.396591876,143.6
2014,2014 Q1,Abilene - TX,10180,62694,44065,8514,9062,169510,649,67133,0.077,178.105,1.070804224,0.126822874,0.176738908,0.134985775,0.396041531,145.6
2014,2014 Q2,Abilene - TX,10180,62558,43971,8905,9185,169829,659,67674,0.076,177.846,1.081780108,0.131586725,0.179845807,0.135724207,0.39848318,148.5
2014,2014 Q3,Abilene - TX,10180,62425,44078,8822,9447,170153,658,67944,0.075,188.242,1.088410092,0.129842223,0.179136984,0.139040975,0.399311208,151.4
2014,2014 Q4,Abilene - TX,10180,62311,44303,8569,9546,170591,664,67953,0.074,197.586,1.090545811,0.126101865,0.17985238,0.140479449,0.398338717,154.9
2015,2015 Q1,Abilene - TX,10180,62194,45149,8564,9509,171018,672,67948,0.073,202.087,1.092516963,0.126037558,0.178608607,0.139945252,0.397314903,158.4
2015,2015 Q2,Abilene - TX,10180,62077,45948,8359,9340,171441,680,68006,0.073,207.296,1.095510414,0.122915625,0.177592061,0.137340823,0.396672908,161.5
2015,2015 Q3,Abilene - TX,10180,61960,46728,8299,9244,171865,686,67879,0.073,210.891,1.095529374,0.122261672,0.176168464,0.136183503,0.394955343,163.9
2015,2015 Q4,Abilene - TX,10180,61960,47420,8161,9283,172026,689,67899,0.072,214.388,1.095852163,0.120193228,0.174356811,0.136717772,0.394701964,165.8
2016,2016 Q1,Abilene - TX,10180,61961,47529,7678,9438,172189,681,67703,0.072,219.31,1.092671196,0.113407087,0.171937133,0.139402981,0.393190041,166
2016,2016 Q2,Abilene - TX,10180,61963,47568,7319,9374,172357,686,67076,0.073,224.233,1.082516986,0.109115034,0.173057518,0.139751923,0.389168992,165.4
2016,2016 Q3,Abilene - TX,10180,61958,47742,7343,9284,172504,677,67689,0.076,228.674,1.092498144,0.108481437,0.170164635,0.137156702,0.392390901,166.1
2016,2016 Q4,Abilene - TX,10180,62588,48016,7425,9098,172681,675,67849,0.074,230.972,1.084057647,0.109434185,0.168693769,0.13409188,0.39291526,169
2017,2017 Q1,Abilene - TX,10180,63227,49033,7500,9170,172854,699,68297,0.073,232.78,1.080187262,0.109814487,0.171068464,0.134266512,0.395113795,174.2
2017,2017 Q2,Abilene - TX,10180,63870,50059,7403,9285,173005,699,68506,0.072,237.067,1.072584938,0.108063527,0.167562277,0.135535574,0.395976995,178.4
2017,2017 Q3,Abilene - TX,10180,64524,50688,7435,9421,173154,704,68611,0.072,242.658,1.063340772,0.108364548,0.166666667,0.137310344,0.396242651,181.8
2017,2017 Q4,Abilene - TX,10180,64538,51130,7532,9551,173429,696,69006,0.072,248.088,1.069230531,0.109149929,0.163348328,0.138408254,0.397891933,184.3
2018,2018 Q1,Abilene - TX,10180,64546,50170,7863,9485,173691,714,69290,0.071,252.75,1.07349797,0.113479579,0.17077935,0.13688844,0.39892683,186.8
2018,2018 Q2,Abilene - TX,10180,64555,49195,8305,9653,173953,716,70280,0.071,257.333,1.088684068,0.118170176,0.174651896,0.137350598,0.404017177,189.8
2018,2018 Q3,Abilene - TX,10180,64561,48450,8249,9751,174209,726,70277,0.071,261.677,1.088536423,0.117378374,0.179814241,0.138750943,0.403406253,194.5
2018,2018 Q4,Abilene - TX,10180,64648,48021,8233,9828,174496,726,70530,0.069,264.098,1.090985027,0.116730469,0.181420628,0.13934496,0.404192646,199.8
2019,2019 Q1,Abilene - TX,10180,64733,49447,8268,9913,174776,740,71182,0.069,268.928,1.099624612,0.11615296,0.179586224,0.139262735,0.407275598,206
2019,2019 Q2,Abilene - TX,10180,64814,51151,8309,10052,175048,754,71727,0.068,275.507,1.106659055,0.115842012,0.176888037,0.140142485,0.409756181,213.8
2019,2019 Q3,Abilene - TX,10180,64898,53075,8763,10400,175328,763,72871,0.066,280.896,1.122854325,0.120253599,0.172510598,0.142717954,0.415626711,221
2019,2019 Q4,Abilene - TX,10180,65197,54808,8810,10582,175765,768,73076,0.065,286.641,1.120849119,0.120559418,0.168150635,0.144808145,0.415759679,227.3
2020,2020 Q1,Abilene - TX,10180,65494,54890,8677,10579,176191,759,73037,0.065,290.232,1.115170855,0.118802799,0.165931864,0.144844394,0.414533092,230.4
2020,2020 Q2,Abilene - TX,10180,65806,53970,7655,10462,176579,772,67326,0.064,296.687,1.023098198,0.113700502,0.171650917,0.155393162,0.381279767,234
2020,2020 Q3,Abilene - TX,10180,66042,53107,7502,10863,176823,778,69857,0.063,306.226,1.05776627,0.107390813,0.175796034,0.155503385,0.395067384,237.7
2020,2020 Q4,Abilene - TX,10180,66236,52304,7501,11131,176949,787,70632,0.063,312.208,1.066368742,0.106198324,0.180559804,0.15759146,0.399165861,242.1
2021,2021 Q1,Abilene - TX,10180,66415,51947,7382,11447,177035,792,70723,0.062,323.102,1.064864865,0.104379056,0.182955705,0.161856822,0.399485977,248.2
2021,2021 Q2,Abilene - TX,10180,66606,52620,7477,11410,177149,808,71217,0.062,343.6,1.069227997,0.104988977,0.184264538,0.160214556,0.402017511,255.9
2021,2021 Q3,Abilene - TX,10180,66821,53201,7624,11631,177328,823,71873,0.062,367.994,1.075604974,0.106075995,0.185635608,0.161827112,0.405311062,263.2
2021,2021 Q4,Abilene - TX,10180,67038,54037,7771,11955,177502,828,72842,0.062,386.256,1.086577762,0.106682958,0.183874012,0.164122347,0.410372841,269.5
2022,2022 Q1,Abilene - TX,10180,67260,55394,7711,12140,177688,848,73285,0.061,402.165,1.089577758,0.105219349,0.183702206,0.165654636,0.412436405,275.4
2022,2022 Q2,Abilene - TX,10180,67484,56577,7789,12343,177873,864,73466,0.061,419.555,1.088643234,0.106021833,0.183254679,0.168009692,0.413025023,280.3
2022,2022 Q3,Abilene - TX,10180,67718,57627,7823,12311,178086,875,74053,0.061,415.703,1.093549721,0.105640555,0.182206257,0.166245797,0.415827185,283.1
2022,2022 Q4,Abilene - TX,10180,67837,58241,7954,12024,178325,874,73961,0.064,408.117,1.090275219,0.107543165,0.180079326,0.162572166,0.41475396,284.1
2023,2023 Q1,Abilene - TX,10180,67952,58103,8019,11704,178611,880,73961,0.063,415.1453299,1.088427373,0.108426256,0.181768301,0.158249693,0.414089371,
2023,2023 Q2,Abilene - TX,10180,68033,57473,8047,11451,178915,886,73961,0.064,416.2812335,1.087140312,0.108799658,0.185035593,0.15482312,0.413387175,
2023,2023 Q3,Abilene - TX,10180,68125,56943,8055,11451,179194,892,73961,0.065,416.7814935,1.085665347,0.108906135,0.188041742,0.15482312,0.412741666,
2023,2023 Q4,Abilene - TX,10180,68212,56690,8054,11451,179427,898,73961,0.066,428.1130682,1.08428356,0.108889907,0.190173175,0.15482312,0.412205963,
2024,2024 Q1,Abilene - TX,10180,68302,56979,8049,11451,179659,905,73961,0.068,438.5034891,1.082845509,0.108829773,0.190492973,0.15482312,0.411674197,
2024,2024 Q2,Abilene - TX,10180,68396,57838,8044,11451,179902,911,73961,0.07,441.09807,1.081371763,0.108764348,0.188932197,0.15482312,0.41111927,
2024,2024 Q3,Abilene - TX,10180,68491,58675,8040,11451,180176,917,73961,0.071,442.2577244,1.079865472,0.108709444,0.187482735,0.15482312,0.410493441,
2024,2024 Q4,Abilene - TX,10180,68612,59446,8037,11451,180460,923,73961,0.072,449.5007219,1.077963359,0.108669102,0.186284905,0.15482312,0.409846534,
2025,2025 Q1,Abilene - TX,10180,68736,60024,8035,11451,180733,929,73961,0.072,454.8354113,1.076008317,0.108642078,0.18571076,0.15482312,0.409227832,
2025,2025 Q2,Abilene - TX,10180,68871,60273,8034,11451,180991,935,73961,0.072,455.7428492,1.073913627,0.10862534,0.186158298,0.15482312,0.408643907,
2025,2025 Q3,Abilene - TX,10180,69005,60503,8033,11451,181240,941,73961,0.072,465.6431895,1.071826969,0.108615754,0.186660941,0.15482312,0.408083386,
2025,2025 Q4,Abilene - TX,10180,69143,60684,8033,11451,181485,947,73961,0.072,477.9795619,1.06968504,0.108610747,0.187311036,0.15482312,0.40753318,
2026,2026 Q1,Abilene - TX,10180,69282,60823,8033,11451,181729,953,73961,0.072,481.975247,1.067533936,0.108608455,0.188088204,0.15482312,0.406984986,
2026,2026 Q2,Abilene - TX,10180,69423,61037,8033,11451,181975,959,73961,0.072,487.6811943,1.065369766,0.108607643,0.188627799,0.15482312,0.406435628,
2026,2026 Q3,Abilene - TX,10180,69564,61278,8033,11451,182222,966,73961,0.071,497.2204814,1.063200882,0.108607553,0.18907945,0.15482312,0.405885073,
2026,2026 Q4,Abilene - TX,10180,69702,61595,8033,11451,182469,972,73961,0.071,501.9042605,1.061095823,0.108607758,0.189296829,0.15482312,0.405334419,
2027,2027 Q1,Abilene - TX,10180,69841,62032,8033,11451,182717,978,73961,0.07,504.2727648,1.058994041,0.108608037,0.189143515,0.15482312,0.404784713,
2027,2027 Q2,Abilene - TX,10180,69978,62535,8033,11451,182965,984,73961,0.07,511.7980032,1.056913724,0.10860829,0.188793936,0.15482312,0.404236551,
2027,2027 Q3,Abilene - TX,10180,70117,63020,8033,11451,183212,990,73961,0.07,520.9392324,1.054829145,0.108608485,0.188503136,0.15482312,0.403690115,
2027,2027 Q4,Abilene - TX,10180,70255,63454,8033,11451,183460,996,73961,0.069,525.2414648,1.052756506,0.10860862,0.188366775,0.15482312,0.403145368,
2013,2013 Q1,Akron - OH,10420,294333,49881,51460,62455,704110,762,324366,0.084,167.895,1.102037488,0.158647947,0.183316293,0.192544841,0.460675179,136.9
2013,2013 Q2,Akron - OH,10420,294444,50006,51417,62769,704494,769,325877,0.083,170.847,1.106753746,0.15778039,0.184537855,0.192615619,0.462568879,138.1
2013,2013 Q3,Akron - OH,10420,294578,50210,51222,63304,704934,772,326267,0.084,174.843,1.107574225,0.156994118,0.184505079,0.194025139,0.4628334,140.3
2013,2013 Q4,Akron - OH,10420,295110,49984,51239,62958,705269,766,326510,0.084,179.585,1.106401003,0.156929344,0.183898848,0.192821047,0.462958105,142.2
2014,2014 Q1,Akron - OH,10420,295660,50008,51854,64246,705644,772,328514,0.083,178.105,1.111120882,0.15784411,0.18525036,0.195565486,0.465552035,143.9
2014,2014 Q2,Akron - OH,10420,296198,50042,52667,64335,705988,779,330496,0.083,177.846,1.115794165,0.159357451,0.186803085,0.194661963,0.468132603,145.3
2014,2014 Q3,Akron - OH,10420,296743,50192,53189,64578,706348,785,332473,0.082,188.242,1.120407221,0.159979908,0.187679311,0.194235321,0.470692916,146.6
2014,2014 Q4,Akron - OH,10420,296509,50538,53144,65247,706241,785,335310,0.081,197.586,1.130859434,0.158492142,0.186394396,0.194587099,0.474781272,149.4
2015,2015 Q1,Akron - OH,10420,296255,50896,53101,65542,706087,790,336815,0.081,202.087,1.136909082,0.15765628,0.186262182,0.194593471,0.477016288,152
2015,2015 Q2,Akron - OH,10420,295993,51203,52987,66169,705915,808,336305,0.081,207.296,1.13619241,0.157556385,0.189363904,0.196752947,0.476410049,154.1
2015,2015 Q3,Akron - OH,10420,295731,51429,52826,66500,705742,810,336407,0.08,210.891,1.137543917,0.157030026,0.188998425,0.197677218,0.476671361,155.5
2015,2015 Q4,Akron - OH,10420,296287,51580,53760,66603,705496,809,337569,0.08,214.388,1.139331122,0.15925633,0.188212485,0.197301885,0.478484641,156.3
2016,2016 Q1,Akron - OH,10420,296847,51503,53275,67528,705252,811,338148,0.081,219.31,1.13913228,0.157549357,0.188959866,0.19969954,0.479471168,157.4
2016,2016 Q2,Akron - OH,10420,297417,51445,52572,68189,705032,822,339870,0.081,224.233,1.142738983,0.154682673,0.19173875,0.200632595,0.482063225,159.8
2016,2016 Q3,Akron - OH,10420,297954,51468,52710,68260,704727,823,339975,0.08,228.674,1.141031837,0.155040812,0.191886221,0.200779469,0.482420852,161.6
2016,2016 Q4,Akron - OH,10420,299154,51598,52759,68475,704827,822,340408,0.08,230.972,1.137902218,0.154987544,0.1911702,0.201155672,0.482966742,163.5
2017,2017 Q1,Akron - OH,10420,300353,52474,52793,68266,704907,827,340089,0.08,232.78,1.132297663,0.155232895,0.189122232,0.200729809,0.482459388,164.4
2017,2017 Q2,Akron - OH,10420,301524,53632,53847,68806,704903,840,341865,0.08,237.067,1.133790345,0.157509543,0.187947494,0.201266582,0.484981622,166
2017,2017 Q3,Akron - OH,10420,302698,54843,53625,68911,704886,841,340822,0.08,242.658,1.125947314,0.157340195,0.184016192,0.202190586,0.483513646,168.3
2017,2017 Q4,Akron - OH,10420,302107,56106,53267,68426,704800,835,340503,0.079,248.088,1.127094043,0.156436213,0.178590525,0.200955645,0.483120034,170.2
2018,2018 Q1,Akron - OH,10420,301495,57327,53381,67716,704661,838,340557,0.079,252.75,1.129561021,0.156746154,0.175414726,0.198838961,0.483291966,172.9
2018,2018 Q2,Akron - OH,10420,300882,58306,53647,67062,704519,855,338730,0.078,257.333,1.125790177,0.158376878,0.175968168,0.197980693,0.480796118,174.2
2018,2018 Q3,Akron - OH,10420,300261,59308,54069,66710,704355,860,340154,0.078,261.677,1.132861078,0.158954474,0.174006879,0.196117053,0.482929773,177
2018,2018 Q4,Akron - OH,10420,299869,60019,54555,66528,704159,857,340128,0.078,264.098,1.134255291,0.160395498,0.171345741,0.195596952,0.483027271,179.4
2019,2019 Q1,Akron - OH,10420,299466,59600,55288,66263,703940,869,340890,0.077,268.928,1.138326221,0.162187216,0.174966443,0.194382352,0.484260022,182.9
2019,2019 Q2,Akron - OH,10420,299048,58872,55054,65747,703684,878,340206,0.077,275.507,1.137630079,0.161825482,0.178964533,0.193256439,0.483464169,185.9
2019,2019 Q3,Akron - OH,10420,298643,57909,54561,65170,703460,881,340064,0.076,280.896,1.138697374,0.160443328,0.182562296,0.191640397,0.483416257,186.7
2019,2019 Q4,Akron - OH,10420,297210,57158,54470,64747,703131,883,340446,0.076,286.641,1.145472898,0.159996005,0.185380874,0.190182878,0.484185735,187.2
2020,2020 Q1,Akron - OH,10420,295766,57502,54435,64808,702750,888,341364,0.076,290.232,1.154169174,0.159463212,0.185315293,0.189850131,0.485754536,186.5
2020,2020 Q2,Akron - OH,10420,294385,57319,48665,58264,702219,889,300585,0.075,296.687,1.021060856,0.16190096,0.186116297,0.193835354,0.428050224,188.1
2020,2020 Q3,Akron - OH,10420,293762,57957,50229,60047,701360,904,316416,0.074,306.226,1.07711685,0.158743553,0.187173249,0.189772325,0.451146344,187.7
2020,2020 Q4,Akron - OH,10420,293365,58744,50693,61150,701037,906,318146,0.075,312.208,1.084471563,0.159338794,0.18507422,0.192207351,0.453821981,189.7
2021,2021 Q1,Akron - OH,10420,292903,59288,51392,61682,700556,920,320356,0.075,323.102,1.093727275,0.160421531,0.186209688,0.192542047,0.457288211,192.7
2021,2021 Q2,Akron - OH,10420,292487,60997,51176,61836,700186,948,321559,0.074,343.6,1.099395871,0.159149643,0.186500975,0.192300635,0.459247971,198.1
2021,2021 Q3,Akron - OH,10420,292179,62153,51269,62031,700069,963,320300,0.074,367.994,1.096245795,0.160065564,0.185928274,0.193665314,0.45752633,202.8
2021,2021 Q4,Akron - OH,10420,292536,63367,51592,63071,699345,975,320598,0.074,386.256,1.095926655,0.160924273,0.184638692,0.196729237,0.458426099,208.7
2022,2022 Q1,Akron - OH,10420,292894,64480,52608,63841,698616,1001,320898,0.073,402.165,1.095611382,0.163939944,0.186290323,0.198944836,0.459333883,215.8
2022,2022 Q2,Akron - OH,10420,293185,65361,52316,62849,697724,1039,322349,0.072,419.555,1.099473029,0.162296145,0.190755955,0.194971909,0.462000734,222.7
2022,2022 Q3,Akron - OH,10420,293521,66167,52323,63129,696937,1030,324120,0.073,415.703,1.104248078,0.161430951,0.186800066,0.194770455,0.465063557,226
2022,2022 Q4,Akron - OH,10420,293377,66694,52486,63498,696308,1018,325764,0.073,408.117,1.110393794,0.161116637,0.183164902,0.194920249,0.467844689,227.1
2023,2023 Q1,Akron - OH,10420,293416.8824,67110.08489,52526.90217,63603.74212,695754.8121,1026.207417,327232.3876,0.073,415.1453299,1.115247306,0.160518653,0.183496847,0.194368726,0.470327164,
2023,2023 Q2,Akron - OH,10420,293620.8335,67187.35622,52555.53576,63697.12185,695297.5411,1042.54579,328291.5741,0.073,416.2812335,1.118079975,0.160087982,0.186203926,0.194026064,0.472159838,
2023,2023 Q3,Akron - OH,10420,293879.7532,67228.8487,52575.58071,63779.58446,694757.7221,1038.643309,329055.5932,0.075,416.7814935,1.11969467,0.159777198,0.185392431,0.193826167,0.473626392,
2023,2023 Q4,Akron - OH,10420,294326.7023,67284.74967,52589.6132,63852.4063,694238.6551,1030.861731,329606.7002,0.076,428.1130682,1.119866793,0.159552622,0.183850588,0.193723023,0.474774341,
2024,2024 Q1,Akron - OH,10420,294776.4224,67397.39586,52599.43665,63916.71448,693719.588,1033.455345,330004.2281,0.079,438.5034891,1.119506864,0.15939019,0.184005094,0.193684532,0.475702624,
2024,2024 Q2,Akron - OH,10420,295213.0047,67634.71998,52606.31356,63973.50433,693200.521,1039.525561,330290.9755,0.081,441.09807,1.11882258,0.159272634,0.184436436,0.193688321,0.476472486,
2024,2024 Q3,Akron - OH,10420,295623.2915,67907.58062,52611.12775,64023.65483,692681.454,1045.595777,330497.8139,0.082,442.2577244,1.117969468,0.159187521,0.184768022,0.193718845,0.47712814,
2024,2024 Q4,Akron - OH,10420,295996.9322,68256.50021,52614.49792,64067.9422,692162.387,1051.665992,330647.0118,0.084,449.5007219,1.117062293,0.159125884,0.184890697,0.193765375,0.477701502,
2025,2025 Q1,Akron - OH,10420,296326.3353,68632.50042,52616.85721,64107.05189,691643.32,1057.736208,330754.6322,0.084,454.8354113,1.116183723,0.159081241,0.184939124,0.193820572,0.47821561,
2025,2025 Q2,Akron - OH,10420,296606.531,69079.24127,52618.50883,64141.58923,691124.253,1063.806424,330832.2616,0.084,455.7428492,1.115391022,0.159048905,0.184797587,0.193879487,0.478687096,
2025,2025 Q3,Akron - OH,10420,296834.9644,69536.4704,52619.66505,64172.08878,690605.186,1069.87664,330888.2578,0.084,465.6431895,1.114721301,0.159025483,0.184630016,0.193938852,0.479127966,
2025,2025 Q4,Akron - OH,10420,297011.2348,69984.56733,52620.47447,64199.0226,690086.119,1075.946855,330928.6493,0.084,477.9795619,1.114195729,0.159008519,0.184488706,0.193996569,0.479546886,
2026,2026 Q1,Akron - OH,10420,297136.798,70420.54122,52621.0411,64222.80757,689567.052,1082.017071,330957.7847,0.084,481.975247,1.11382295,0.158996233,0.18438093,0.194051358,0.479950113,
2026,2026 Q2,Akron - OH,10420,297214.6481,70820.05841,52621.43777,64243.81181,689047.985,1088.087287,330978.8009,0.084,487.6811943,1.113601914,0.158987336,0.18436934,0.194102497,0.480342165,
2026,2026 Q3,Akron - OH,10420,297248.9923,71214.21115,52621.71545,64262.36043,688528.918,1094.157503,330993.9604,0.083,497.2204814,1.113524247,0.158980893,0.184371768,0.194149647,0.480726302,
2026,2026 Q4,Akron - OH,10420,297244.9304,71595.82327,52621.90985,64278.74052,688009.851,1100.227718,331004.8953,0.082,501.9042605,1.113576251,0.158976228,0.184406464,0.194192719,0.481104878,
2027,2027 Q1,Akron - OH,10420,297208.1497,71976.90831,52622.04594,64293.20559,687490.784,1106.297934,331012.783,0.082,504.2727648,1.1137406,0.158972851,0.184442143,0.194231791,0.481479593,
2027,2027 Q2,Akron - OH,10420,297144.6447,72350.38443,52622.14121,64305.97954,686971.7169,1112.36815,331018.4726,0.082,511.7980032,1.113997774,0.158970407,0.184496847,0.194267042,0.481851675,
2027,2027 Q3,Akron - OH,10420,297060.4653,72725.52469,52622.2079,64317.26008,686452.6499,1118.438366,331022.5766,0.081,520.9392324,1.114327268,0.158968637,0.184546766,0.194298711,0.48222201,
2027,2027 Q4,Akron - OH,10420,296961.5008,73107.97167,52622.25459,64327.2218,685933.5829,1124.508581,331025.537,0.081,525.2414648,1.114708594,0.158967357,0.184577723,0.194327067,0.482591238,
2013,2013 Q1,Albany - GA,10500,63469,34398,6756,8502,157828,585,60623,0.084,167.895,0.955159212,0.111442852,0.204081633,0.140243802,0.384108016,137.8
2013,2013 Q2,Albany - GA,10500,63172,34418,6850,8590,157581,588,60624,0.085,170.847,0.959665675,0.112991554,0.205009007,0.141693059,0.384716432,138.1
2013,2013 Q3,Albany - GA,10500,62881,34676,6905,8647,157345,589,61329,0.085,174.843,0.975318459,0.112589476,0.203829738,0.140993657,0.389774063,138.5
2013,2013 Q4,Albany - GA,10500,63267,34756,6828,8591,157236,590,60847,0.085,179.585,0.961749411,0.112215886,0.203705835,0.141190198,0.386978809,140
2014,2014 Q1,Albany - GA,10500,63662,35858,6713,8780,157136,593,60749,0.085,178.105,0.954242719,0.110503877,0.198449439,0.144529128,0.386601415,142.8
2014,2014 Q2,Albany - GA,10500,64059,36992,6829,8892,157029,593,60897,0.083,177.846,0.950639254,0.112140171,0.192365917,0.146017045,0.387807348,148.1
2014,2014 Q3,Albany - GA,10500,64463,37978,6903,8982,156925,595,60697,0.081,188.242,0.94157889,0.11372885,0.188003581,0.147980955,0.386789868,153.4
2014,2014 Q4,Albany - GA,10500,64444,39071,6944,9128,156598,595,61141,0.08,197.586,0.948746198,0.113573543,0.182744235,0.149294254,0.390432828,158.4
2015,2015 Q1,Albany - GA,10500,64420,39517,6981,9058,156259,593,60931,0.079,202.087,0.945839801,0.114572221,0.180074398,0.14865996,0.38993594,161.4
2015,2015 Q2,Albany - GA,10500,64394,39803,7082,9017,155916,598,60790,0.079,207.296,0.944032053,0.116499424,0.180287918,0.148330317,0.389889428,164.5
2015,2015 Q3,Albany - GA,10500,64368,40046,6902,9120,155573,595,60769,0.078,210.891,0.944087124,0.113577646,0.178294961,0.150076519,0.390614053,167.3
2015,2015 Q4,Albany - GA,10500,64296,40143,6898,9277,155322,597,61222,0.078,214.388,0.952189872,0.112671915,0.178461998,0.151530496,0.394161806,169.9
2016,2016 Q1,Albany - GA,10500,64223,40159,6952,9481,155071,605,60952,0.078,219.31,0.949068091,0.114056963,0.180781394,0.155548628,0.393058663,172.2
2016,2016 Q2,Albany - GA,10500,64153,40171,7027,9535,154824,610,61389,0.077,224.233,0.956915499,0.114466761,0.182221005,0.155320986,0.396508293,174.5
2016,2016 Q3,Albany - GA,10500,64074,40307,7129,9818,154559,615,62001,0.077,228.674,0.967646783,0.114982016,0.183094748,0.158352285,0.401147782,177.7
2016,2016 Q4,Albany - GA,10500,64215,40667,7796,9976,154391,618,63188,0.076,230.972,0.984006852,0.123377857,0.182359161,0.157878078,0.409272561,180.6
2017,2017 Q1,Albany - GA,10500,64355,41500,7713,9923,154218,626,63469,0.076,232.78,0.986232616,0.121523894,0.181012048,0.156344042,0.411553775,183.5
2017,2017 Q2,Albany - GA,10500,64488,42313,7270,9950,154026,629,62911,0.076,237.067,0.975545838,0.115560077,0.178384894,0.15815994,0.408444029,185.5
2017,2017 Q3,Albany - GA,10500,64620,43032,7301,9913,153832,635,62944,0.076,242.658,0.974063757,0.115991993,0.177077524,0.157489197,0.409173644,187.7
2017,2017 Q4,Albany - GA,10500,64296,43614,7032,9684,153826,643,62412,0.075,248.088,0.970698022,0.11267064,0.176915669,0.155162469,0.405731151,191.1
2018,2018 Q1,Albany - GA,10500,63970,44095,7071,10011,153808,642,62531,0.075,252.75,0.977505081,0.113079912,0.174713686,0.160096592,0.406552325,192.8
2018,2018 Q2,Albany - GA,10500,63647,44523,7065,9982,153789,642,62178,0.075,257.333,0.976919572,0.113625398,0.173034162,0.160539097,0.4043072,195.1
2018,2018 Q3,Albany - GA,10500,63324,44846,6894,10087,153766,645,62046,0.075,261.677,0.979818078,0.111111111,0.172590644,0.16257293,0.403509228,198.3
2018,2018 Q4,Albany - GA,10500,62714,44896,6791,10247,153506,656,62338,0.073,264.098,0.994004528,0.108938368,0.17533856,0.164378068,0.406094876,203.1
2019,2019 Q1,Albany - GA,10500,62111,43848,6891,9863,153240,660,62455,0.073,268.928,1.005538471,0.110335442,0.180623974,0.157921704,0.407563299,208.6
2019,2019 Q2,Albany - GA,10500,61514,42760,6907,10033,152966,670,63028,0.072,275.507,1.024612283,0.109586216,0.188026193,0.15918322,0.412039277,212.7
2019,2019 Q3,Albany - GA,10500,60929,41621,6877,10250,152699,681,62908,0.072,280.896,1.032480428,0.10931837,0.196343192,0.162936351,0.411973883,217.8
2019,2019 Q4,Albany - GA,10500,60703,40625,6800,10130,152417,692,62708,0.071,286.641,1.033029669,0.108439115,0.204406154,0.161542387,0.411423923,222
2020,2020 Q1,Albany - GA,10500,60474,41035,6915,10149,152124,699,63228,0.07,290.232,1.045540232,0.109366104,0.204410869,0.160514329,0.415634614,226.8
2020,2020 Q2,Albany - GA,10500,60257,41224,6578,10028,151798,702,58005,0.069,296.687,0.962626749,0.113404017,0.204346982,0.172881648,0.382119659,231.2
2020,2020 Q3,Albany - GA,10500,59657,42069,6654,10262,151273,707,59638,0.068,306.226,0.999681513,0.111573158,0.201668687,0.172071498,0.394240876,234.7
2020,2020 Q4,Albany - GA,10500,59205,43266,6577,10244,151105,713,59994,0.068,312.208,1.013326577,0.109627629,0.197753432,0.170750408,0.397035174,238.9
2021,2021 Q1,Albany - GA,10500,58746,44137,6811,9990,150904,738,60472,0.067,323.102,1.029380724,0.112630639,0.200647982,0.165200423,0.400731591,244.5
2021,2021 Q2,Albany - GA,10500,58302,45869,6972,10298,150727,741,60619,0.067,343.6,1.039741347,0.115013445,0.193856417,0.16988073,0.402177447,252.5
2021,2021 Q3,Albany - GA,10500,57884,47314,7020,10536,150604,758,60859,0.067,367.994,1.051395895,0.115348593,0.192247538,0.173121478,0.404099493,257.7
2021,2021 Q4,Albany - GA,10500,57934,48659,7106,10486,150394,768,61397,0.067,386.256,1.059774916,0.115738554,0.1893997,0.170790104,0.40824102,261.3
2022,2022 Q1,Albany - GA,10500,57997,49898,7141,10969,150217,779,61895,0.068,402.165,1.067210373,0.115372809,0.187342178,0.177219485,0.412037253,264.3
2022,2022 Q2,Albany - GA,10500,58051,50669,7318,11372,150013,798,62246,0.068,419.555,1.072264044,0.117565787,0.188991296,0.18269447,0.414937372,273.7
2022,2022 Q3,Albany - GA,10500,58112,51319,7340,11245,149830,818,62817,0.065,415.703,1.080964345,0.11684735,0.191274187,0.179012051,0.419255156,282.1
2022,2022 Q4,Albany - GA,10500,58076,51761,7331,11271,149677,817,63040,0.065,408.117,1.085474206,0.116291244,0.189409015,0.178791244,0.421173594,288.6
2023,2023 Q1,Albany - GA,10500,58047.13644,52062.25724,7258.039955,11207.58458,149492.5938,827.7171869,62554.73353,0.065,415.1453299,1.077654082,0.11602703,0.190783242,0.179164452,0.418447041,
2023,2023 Q2,Albany - GA,10500,58023.99463,52215.3683,7201.340598,11169.45041,149306.0529,838.4343738,62236.09277,0.065,416.2812335,1.07259235,0.115710037,0.192686805,0.179469017,0.416835698,
2023,2023 Q3,Albany - GA,10500,58005.44032,52312.13529,7157.277891,11298.80444,149112.4192,849.1515606,62026.86353,0.067,416.7814935,1.06932838,0.115389969,0.194788813,0.182159855,0.415973826,
